label_avg_price_per_room,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,market_segment_type,no_of_special_requests
0,2,0,2,5,"Meal Plan 1",0,"Room_Type 1",51,2017,9,Offline,1
2,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",65,2018,9,Online,3
1,2,0,2,1,"Meal Plan 1",0,"Room_Type 1",179,2018,10,Online,2
0,2,0,1,2,"Meal Plan 1",0,"Room_Type 1",4,2018,1,Offline,0
1,2,0,1,1,"Meal Plan 1",0,"Room_Type 1",80,2018,11,Online,0
2,2,0,0,1,"Not Selected",0,"Room_Type 1",56,2018,7,Online,1
0,1,0,0,1,"Meal Plan 2",0,"Room_Type 1",221,2018,8,Offline,0
0,2,0,1,0,"Meal Plan 1",0,"Room_Type 1",263,2017,9,Offline,0
0,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",160,2017,12,Offline,0
2,2,0,2,0,"Meal Plan 1",0,"Room_Type 4",174,2018,6,Online,0
0,1,0,0,1,"Meal Plan 1",0,"Room_Type 1",19,2018,11,Offline,0
2,2,0,0,2,"Meal Plan 2",0,"Room_Type 1",63,2017,9,Offline,0
0,1,0,1,0,"Meal Plan 1",0,"Room_Type 1",0,2018,1,Online,0
1,1,0,2,0,"Meal Plan 1",0,"Room_Type 1",5,2017,9,Online,1
0,1,0,0,1,"Meal Plan 1",0,"Room_Type 1",0,2018,6,Online,0
1,1,0,0,2,"Meal Plan 1",0,"Room_Type 1",86,2017,9,Offline,0
0,2,0,1,2,"Meal Plan 1",0,"Room_Type 1",38,2018,1,Online,0
1,2,0,2,5,"Meal Plan 1",0,"Room_Type 1",38,2017,9,Online,1
2,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",176,2018,9,Online,0
0,1,0,1,1,"Meal Plan 1",0,"Room_Type 1",13,2018,7,Corporate,0
2,3,0,0,3,"Meal Plan 1",0,"Room_Type 4",156,2018,12,Online,0
1,2,0,1,3,"Meal Plan 1",0,"Room_Type 4",182,2018,8,Online,1
1,2,0,1,3,"Meal Plan 1",0,"Room_Type 4",11,2018,9,Online,1
2,2,0,1,0,"Not Selected",0,"Room_Type 1",28,2018,10,Online,0
1,2,0,2,1,"Meal Plan 2",0,"Room_Type 1",87,2018,10,Offline,1
2,3,0,1,2,"Meal Plan 1",0,"Room_Type 4",99,2018,5,Online,0
0,2,0,2,1,"Meal Plan 1",0,"Room_Type 1",13,2017,10,Offline,0
2,2,0,0,3,"Meal Plan 1",0,"Room_Type 4",18,2018,5,Online,1
0,1,0,0,3,"Meal Plan 1",0,"Room_Type 1",6,2018,11,Offline,0
2,1,0,2,2,"Meal Plan 1",0,"Room_Type 1",162,2018,10,Online,0
2,2,1,2,3,"Meal Plan 1",0,"Room_Type 1",4,2018,6,Online,2
0,1,0,0,2,"Meal Plan 1",0,"Room_Type 1",15,2017,8,Online,1
2,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",23,2018,9,Online,2
2,2,0,0,3,"Meal Plan 1",0,"Room_Type 4",7,2018,5,Online,1
0,0,2,0,3,"Meal Plan 1",0,"Room_Type 2",40,2018,1,Online,1
0,1,0,0,2,"Meal Plan 2",0,"Room_Type 1",102,2017,10,Online,0
2,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",141,2018,9,Online,1
0,1,0,2,1,"Meal Plan 1",0,"Room_Type 1",40,2017,10,Online,0
0,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",42,2018,2,Online,1
0,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",12,2017,8,Corporate,0
0,2,0,2,3,"Meal Plan 1",0,"Room_Type 1",54,2017,10,Online,2
2,2,0,1,1,"Meal Plan 1",0,"Room_Type 1",24,2017,9,Online,2
0,1,0,0,2,"Meal Plan 1",0,"Room_Type 4",0,2018,3,Corporate,0
2,3,0,0,1,"Meal Plan 1",0,"Room_Type 4",0,2018,8,Online,2
0,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",59,2017,10,Offline,0
0,2,0,0,4,"Meal Plan 1",0,"Room_Type 2",33,2017,8,Online,1
2,2,0,0,3,"Meal Plan 2",0,"Room_Type 1",11,2018,5,Offline,0
0,2,0,1,1,"Not Selected",0,"Room_Type 1",63,2018,3,Online,0
0,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",56,2018,11,Offline,0
2,2,0,2,2,"Meal Plan 1",0,"Room_Type 1",36,2018,5,Online,2
2,1,0,2,1,"Meal Plan 1",0,"Room_Type 1",93,2018,10,Online,0
0,0,2,1,1,"Meal Plan 1",0,"Room_Type 2",92,2018,10,Online,2
2,2,0,0,1,"Meal Plan 1",0,"Room_Type 4",23,2018,8,Online,1
2,1,0,2,3,"Meal Plan 1",0,"Room_Type 1",27,2018,11,Online,1
2,2,2,2,1,"Meal Plan 2",0,"Room_Type 6",57,2018,4,Online,0
1,2,0,2,1,"Meal Plan 1",0,"Room_Type 4",8,2018,6,Offline,0
2,2,0,0,1,"Meal Plan 1",0,"Room_Type 1",5,2018,8,Online,1
1,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",13,2018,1,Online,1
1,2,0,2,1,"Not Selected",0,"Room_Type 1",55,2018,9,Online,1
1,2,0,1,0,"Meal Plan 1",0,"Room_Type 1",12,2017,8,Online,2
1,2,0,1,2,"Meal Plan 2",0,"Room_Type 1",418,2018,9,Online,0
0,2,0,0,4,"Meal Plan 1",0,"Room_Type 1",270,2018,4,Offline,1
1,1,0,2,4,"Meal Plan 1",0,"Room_Type 1",245,2018,7,Online,0
1,2,0,0,3,"Not Selected",1,"Room_Type 1",69,2018,6,Online,1
1,2,0,0,3,"Meal Plan 2",0,"Room_Type 1",150,2018,6,Offline,1
0,2,0,0,1,"Meal Plan 1",0,"Room_Type 1",105,2018,4,Online,0
1,1,0,0,2,"Meal Plan 1",0,"Room_Type 1",192,2018,6,Offline,0
2,2,0,1,3,"Meal Plan 1",0,"Room_Type 1",16,2017,9,Online,2
2,2,0,0,4,"Not Selected",0,"Room_Type 1",133,2018,9,Online,3
1,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",2,2018,3,Online,1
2,2,0,0,2,"Meal Plan 1",0,"Room_Type 4",8,2018,6,Online,1
1,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",141,2018,11,Online,0
0,2,0,2,2,"Meal Plan 1",0,"Room_Type 1",134,2017,12,Offline,0
2,3,0,0,4,"Meal Plan 1",1,"Room_Type 4",62,2018,7,Online,2
1,1,0,0,2,"Meal Plan 1",0,"Room_Type 1",164,2017,10,Offline,0
2,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",96,2018,6,Online,1
0,2,0,1,2,"Not Selected",0,"Room_Type 1",37,2018,2,Online,0
1,2,0,2,1,"Meal Plan 1",0,"Room_Type 1",38,2018,9,Offline,0
2,3,0,0,2,"Meal Plan 1",0,"Room_Type 4",2,2018,3,Online,3
2,2,0,1,2,"Meal Plan 1",1,"Room_Type 1",43,2018,7,Online,1
0,2,0,2,5,"Meal Plan 1",0,"Room_Type 1",38,2018,8,Offline,0
1,2,0,1,1,"Meal Plan 1",0,"Room_Type 1",9,2017,9,Online,2
2,1,0,2,2,"Not Selected",0,"Room_Type 1",32,2017,9,Online,2
1,2,0,0,4,"Meal Plan 1",0,"Room_Type 1",88,2018,3,Online,0
1,2,0,1,3,"Meal Plan 1",0,"Room_Type 1",115,2017,9,Online,0
0,2,0,1,0,"Meal Plan 1",0,"Room_Type 4",0,2017,8,Complementary,0
2,2,0,1,2,"Not Selected",0,"Room_Type 1",99,2018,11,Online,2
0,2,0,0,2,"Not Selected",0,"Room_Type 1",22,2018,2,Online,1
2,3,0,2,2,"Meal Plan 1",0,"Room_Type 4",8,2018,4,Online,1
1,1,0,2,3,"Not Selected",0,"Room_Type 1",81,2018,7,Online,0
2,2,1,1,2,"Meal Plan 1",0,"Room_Type 1",81,2018,10,Online,0
1,2,0,1,1,"Meal Plan 1",0,"Room_Type 1",58,2018,10,Online,1
1,2,0,1,2,"Meal Plan 1",0,"Room_Type 1",273,2018,5,Online,0
0,1,0,0,1,"Meal Plan 1",0,"Room_Type 1",4,2017,10,Complementary,0
1,1,0,0,1,"Meal Plan 1",0,"Room_Type 1",79,2018,12,Online,1
0,2,0,2,3,"Not Selected",0,"Room_Type 1",57,2017,9,Online,1
0,2,0,2,5,"Meal Plan 1",0,"Room_Type 1",29,2018,1,Online,1
1,2,0,0,4,"Meal Plan 1",0,"Room_Type 4",18,2018,5,Online,0
1,2,0,1,1,"Meal Plan 2",0,"Room_Type 1",88,2017,10,Offline,0
0,2,0,2,3,"Meal Plan 1",0,"Room_Type 1",25,2017,9,Online,0
2,2,0,0,4,"Meal Plan 1",0,"Room_Type 4",84,2018,4,Online,1
2,2,0,1,2,"Meal Plan 1",0,"Room_Type 1",1,2018,4,Online,2
0,1,0,0,1,"Meal Plan 1",0,"Room_Type 1",0,2018,1,Complementary,0
1,1,0,0,1,"Meal Plan 1",0,"Room_Type 1",8,2018,4,Online,1
1,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",8,2018,2,Online,1
1,2,0,0,2,"Not Selected",0,"Room_Type 1",1,2018,8,Online,1
2,3,1,0,4,"Meal Plan 1",0,"Room_Type 7",110,2017,12,Offline,1
2,3,0,2,1,"Meal Plan 1",0,"Room_Type 4",3,2018,6,Online,0
0,2,0,0,1,"Not Selected",0,"Room_Type 1",54,2018,3,Online,1
1,2,0,0,2,"Not Selected",0,"Room_Type 1",64,2018,4,Online,1
0,2,0,1,2,"Meal Plan 1",0,"Room_Type 1",52,2018,5,Offline,0
0,2,0,0,4,"Meal Plan 1",0,"Room_Type 2",232,2018,8,Online,1
1,3,0,0,4,"Meal Plan 1",0,"Room_Type 1",71,2018,12,Offline,0
2,2,0,2,3,"Meal Plan 1",0,"Room_Type 1",23,2018,8,Online,0
1,2,1,1,3,"Meal Plan 1",0,"Room_Type 1",2,2018,2,Online,2
2,2,0,0,2,"Meal Plan 2",0,"Room_Type 1",63,2017,9,Offline,0
2,1,2,2,3,"Meal Plan 1",0,"Room_Type 6",10,2018,5,Online,0
0,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",122,2018,4,Online,0
1,2,0,0,5,"Meal Plan 1",0,"Room_Type 1",150,2018,8,Online,1
0,2,0,2,3,"Meal Plan 1",0,"Room_Type 1",359,2018,10,Offline,1
1,1,0,1,1,"Meal Plan 1",0,"Room_Type 1",118,2018,6,Offline,0
1,2,0,0,2,"Meal Plan 2",0,"Room_Type 1",74,2017,9,Offline,0
1,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",304,2018,11,Online,0
2,3,0,0,3,"Meal Plan 1",0,"Room_Type 4",25,2018,4,Online,0
1,2,0,0,1,"Not Selected",0,"Room_Type 1",0,2018,3,Online,0
1,2,0,1,2,"Meal Plan 1",0,"Room_Type 1",41,2017,10,Online,2
1,2,0,0,4,"Meal Plan 1",0,"Room_Type 1",244,2018,8,Online,0
0,2,0,1,2,"Meal Plan 1",0,"Room_Type 1",11,2018,10,Offline,0
0,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",36,2018,1,Offline,0
1,1,0,0,2,"Meal Plan 1",0,"Room_Type 1",192,2018,6,Offline,0
1,2,0,1,0,"Meal Plan 1",0,"Room_Type 1",77,2018,6,Online,1
1,2,0,1,0,"Not Selected",0,"Room_Type 1",30,2018,12,Online,3
1,2,0,0,4,"Meal Plan 1",0,"Room_Type 1",217,2018,5,Online,2
0,2,0,1,2,"Not Selected",0,"Room_Type 1",23,2018,2,Online,1
2,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",1,2018,7,Online,1
1,1,0,0,1,"Meal Plan 1",0,"Room_Type 1",12,2018,5,Online,0
0,2,0,2,2,"Not Selected",0,"Room_Type 1",56,2018,11,Online,3
1,2,0,2,1,"Meal Plan 2",0,"Room_Type 1",110,2017,7,Online,0
2,2,1,1,2,"Meal Plan 1",0,"Room_Type 1",9,2018,4,Online,0
1,2,0,0,3,"Meal Plan 1",0,"Room_Type 4",43,2018,3,Online,0
0,1,0,1,2,"Meal Plan 1",0,"Room_Type 1",219,2017,9,Offline,1
1,2,0,1,1,"Meal Plan 1",0,"Room_Type 4",87,2018,4,Online,0
1,2,0,1,5,"Meal Plan 1",0,"Room_Type 1",22,2017,9,Online,2
0,1,0,0,2,"Meal Plan 2",0,"Room_Type 1",6,2017,12,Online,0
1,2,0,1,2,"Meal Plan 1",0,"Room_Type 1",305,2018,11,Online,0
1,1,0,0,1,"Meal Plan 1",0,"Room_Type 1",7,2018,3,Online,1
0,1,0,1,1,"Meal Plan 1",0,"Room_Type 1",3,2018,3,Corporate,0
1,1,0,0,3,"Meal Plan 1",0,"Room_Type 1",91,2018,4,Online,1
1,2,0,0,4,"Meal Plan 1",0,"Room_Type 1",100,2018,9,Online,0
1,2,1,2,0,"Not Selected",0,"Room_Type 1",91,2018,8,Online,1
1,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",19,2018,1,Online,1
1,2,0,0,5,"Not Selected",0,"Room_Type 1",128,2018,8,Online,0
2,2,0,1,1,"Meal Plan 1",0,"Room_Type 1",42,2018,10,Online,1
0,2,0,1,3,"Meal Plan 1",0,"Room_Type 1",18,2018,10,Offline,0
2,1,0,0,2,"Meal Plan 1",0,"Room_Type 1",103,2018,4,Online,0
0,2,0,0,1,"Not Selected",0,"Room_Type 1",94,2018,12,Online,1
1,2,0,0,4,"Meal Plan 2",0,"Room_Type 1",78,2018,4,Offline,0
0,2,0,0,1,"Meal Plan 1",0,"Room_Type 1",4,2018,3,Offline,1
2,1,0,0,4,"Not Selected",0,"Room_Type 1",1,2018,6,Online,1
1,1,0,2,2,"Meal Plan 1",0,"Room_Type 1",2,2017,10,Online,0
1,2,0,1,1,"Not Selected",0,"Room_Type 1",59,2018,6,Online,1
0,2,0,2,3,"Meal Plan 1",0,"Room_Type 4",16,2018,12,Online,0
0,2,0,1,0,"Meal Plan 1",0,"Room_Type 1",24,2018,8,Complementary,0
2,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",57,2018,8,Online,1
2,2,0,2,2,"Meal Plan 1",0,"Room_Type 4",20,2018,4,Online,1
1,2,0,1,2,"Meal Plan 1",0,"Room_Type 1",0,2018,5,Online,1
1,2,0,1,2,"Meal Plan 1",0,"Room_Type 1",121,2018,6,Online,0
1,2,0,1,1,"Meal Plan 1",0,"Room_Type 1",27,2018,10,Offline,0
1,2,1,1,0,"Meal Plan 1",0,"Room_Type 1",50,2018,12,Online,2
1,2,0,2,1,"Meal Plan 2",0,"Room_Type 1",110,2017,7,Online,0
2,3,0,2,2,"Meal Plan 1",0,"Room_Type 4",16,2018,7,Online,0
0,2,0,2,3,"Meal Plan 1",0,"Room_Type 1",92,2017,7,Online,0
1,2,0,2,3,"Meal Plan 1",0,"Room_Type 4",76,2018,3,Online,1
0,1,0,0,3,"Meal Plan 1",0,"Room_Type 1",146,2017,12,Offline,0
2,2,0,1,5,"Meal Plan 1",0,"Room_Type 1",9,2018,8,Online,0
2,2,0,1,2,"Not Selected",0,"Room_Type 1",12,2018,4,Online,0
1,2,0,0,2,"Meal Plan 2",0,"Room_Type 1",102,2017,10,Online,0
0,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",57,2018,2,Online,0
2,2,0,0,1,"Not Selected",0,"Room_Type 1",31,2018,9,Online,1
1,2,0,2,3,"Meal Plan 1",0,"Room_Type 2",142,2018,8,Online,1
2,2,0,0,2,"Meal Plan 2",0,"Room_Type 1",292,2018,7,Online,0
1,2,0,1,2,"Meal Plan 1",0,"Room_Type 1",54,2018,11,Online,1
1,2,0,0,2,"Not Selected",0,"Room_Type 1",21,2018,10,Online,1
0,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",44,2018,2,Offline,0
1,1,0,0,1,"Meal Plan 1",0,"Room_Type 1",1,2018,7,Online,1
2,2,0,0,2,"Meal Plan 2",0,"Room_Type 1",30,2017,9,Offline,0
1,2,0,0,5,"Meal Plan 1",0,"Room_Type 1",186,2018,7,Online,1
1,2,0,0,3,"Not Selected",0,"Room_Type 1",36,2018,12,Online,0
1,2,0,0,1,"Meal Plan 1",1,"Room_Type 1",138,2018,5,Online,1
0,2,0,0,5,"Meal Plan 1",0,"Room_Type 4",162,2018,3,Offline,1
0,2,0,0,1,"Meal Plan 1",0,"Room_Type 1",2,2017,10,Offline,0
0,2,0,1,3,"Meal Plan 1",0,"Room_Type 1",100,2018,3,Online,0
0,2,0,0,4,"Meal Plan 1",0,"Room_Type 4",97,2017,12,Offline,1
1,3,0,1,2,"Meal Plan 1",0,"Room_Type 1",33,2018,1,Corporate,0
1,2,0,0,4,"Meal Plan 1",0,"Room_Type 1",86,2018,3,Online,1
1,1,0,2,4,"Meal Plan 1",0,"Room_Type 1",245,2018,7,Online,0
0,2,0,2,2,"Meal Plan 1",0,"Room_Type 1",24,2017,12,Offline,1
2,3,0,1,2,"Meal Plan 1",0,"Room_Type 4",89,2018,7,Online,2
0,2,0,2,1,"Meal Plan 1",0,"Room_Type 1",66,2017,7,Online,0
0,1,0,0,1,"Meal Plan 1",0,"Room_Type 1",5,2018,2,Corporate,0
1,2,0,0,1,"Meal Plan 2",0,"Room_Type 1",41,2017,9,Offline,0
1,3,0,0,2,"Meal Plan 1",0,"Room_Type 1",45,2018,12,Offline,0
0,1,0,0,2,"Meal Plan 1",0,"Room_Type 1",1,2017,9,Corporate,0
2,2,0,0,3,"Meal Plan 1",0,"Room_Type 4",11,2018,4,Online,0
0,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",9,2018,10,Complementary,0
1,3,0,1,2,"Meal Plan 1",0,"Room_Type 1",161,2018,7,Offline,1
0,1,0,2,1,"Meal Plan 2",0,"Room_Type 1",2,2017,8,Online,0
1,1,0,1,2,"Not Selected",0,"Room_Type 1",13,2018,5,Online,1
1,2,0,0,4,"Meal Plan 1",0,"Room_Type 1",1,2018,3,Online,1
1,2,0,1,3,"Meal Plan 1",0,"Room_Type 1",38,2018,6,Online,0
1,2,0,1,3,"Meal Plan 1",0,"Room_Type 1",166,2017,10,Online,2
0,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",68,2017,9,Offline,0
1,1,0,0,2,"Meal Plan 2",0,"Room_Type 1",256,2018,6,Offline,0
1,2,0,1,2,"Meal Plan 2",0,"Room_Type 1",418,2018,9,Online,0
2,2,0,0,1,"Meal Plan 1",0,"Room_Type 1",0,2018,9,Corporate,0
1,2,0,1,2,"Meal Plan 1",0,"Room_Type 4",133,2018,8,Online,0
1,2,0,0,2,"Meal Plan 2",0,"Room_Type 1",273,2017,7,Online,0
1,2,0,2,3,"Meal Plan 1",0,"Room_Type 1",17,2017,8,Online,1
0,2,0,0,4,"Meal Plan 1",0,"Room_Type 1",88,2018,7,Offline,0
1,2,0,0,3,"Meal Plan 1",0,"Room_Type 4",80,2018,4,Online,1
1,1,0,2,1,"Meal Plan 1",0,"Room_Type 1",16,2018,10,Corporate,0
2,1,0,0,3,"Not Selected",0,"Room_Type 1",15,2018,4,Online,0
2,2,0,0,3,"Meal Plan 1",0,"Room_Type 4",59,2018,10,Online,1
0,1,0,0,2,"Meal Plan 1",0,"Room_Type 1",32,2017,11,Offline,0
2,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",213,2018,6,Online,0
2,2,0,1,2,"Meal Plan 2",0,"Room_Type 1",161,2018,3,Online,0
1,2,0,2,5,"Not Selected",0,"Room_Type 1",17,2018,12,Online,1
1,2,0,2,5,"Meal Plan 1",0,"Room_Type 1",155,2018,7,Online,1
0,2,0,2,3,"Meal Plan 1",0,"Room_Type 1",49,2018,1,Online,1
1,2,0,0,2,"Meal Plan 2",0,"Room_Type 1",257,2017,7,Online,0
0,2,0,2,2,"Meal Plan 1",0,"Room_Type 2",50,2018,3,Online,0
2,2,0,1,1,"Meal Plan 2",0,"Room_Type 1",247,2018,6,Online,1
2,2,1,2,4,"Meal Plan 1",0,"Room_Type 1",64,2018,4,Online,2
2,2,2,0,1,"Meal Plan 1",0,"Room_Type 6",24,2018,12,Online,0
1,2,0,0,5,"Meal Plan 1",0,"Room_Type 1",10,2017,8,Online,1
0,2,0,2,2,"Meal Plan 1",0,"Room_Type 1",59,2018,11,Offline,0
1,1,0,0,2,"Meal Plan 1",0,"Room_Type 1",164,2017,10,Offline,0
0,1,0,0,2,"Meal Plan 1",0,"Room_Type 1",32,2017,11,Offline,0
1,2,0,2,1,"Meal Plan 2",0,"Room_Type 1",122,2018,3,Offline,1
1,1,0,0,3,"Meal Plan 1",0,"Room_Type 1",276,2018,9,Offline,0
1,2,0,1,3,"Meal Plan 1",0,"Room_Type 4",18,2018,9,Online,1
1,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",116,2018,11,Online,1
0,1,0,1,2,"Meal Plan 1",0,"Room_Type 1",38,2018,2,Online,0
2,2,0,1,2,"Meal Plan 1",0,"Room_Type 1",41,2018,11,Online,1
1,2,1,1,5,"Meal Plan 1",1,"Room_Type 1",6,2017,8,Online,2
2,1,0,0,3,"Meal Plan 1",0,"Room_Type 4",47,2018,9,Offline,0
2,2,2,1,2,"Meal Plan 1",0,"Room_Type 6",9,2017,8,Online,3
2,1,0,0,1,"Meal Plan 1",0,"Room_Type 1",0,2017,9,Online,1
2,3,0,0,3,"Not Selected",0,"Room_Type 1",1,2017,12,Online,0
1,2,0,2,3,"Meal Plan 1",0,"Room_Type 4",118,2018,5,Online,0
0,1,0,0,2,"Meal Plan 1",0,"Room_Type 1",0,2017,8,Online,0
2,1,0,0,4,"Not Selected",0,"Room_Type 1",12,2018,11,Online,1
0,1,0,1,4,"Meal Plan 1",0,"Room_Type 1",89,2017,7,Online,1
0,1,0,0,1,"Not Selected",0,"Room_Type 1",38,2018,3,Online,1
1,2,0,0,1,"Meal Plan 1",1,"Room_Type 4",41,2018,1,Online,1
0,2,0,0,0,"Meal Plan 1",0,"Room_Type 1",145,2018,7,Online,1
1,2,0,1,1,"Meal Plan 1",1,"Room_Type 1",83,2018,3,Online,1
2,2,0,0,4,"Not Selected",0,"Room_Type 1",1,2018,11,Online,2
1,1,0,0,2,"Meal Plan 1",0,"Room_Type 1",192,2018,6,Offline,0
2,3,0,2,7,"Meal Plan 1",0,"Room_Type 4",178,2018,7,Online,1
1,1,0,0,3,"Meal Plan 1",0,"Room_Type 1",166,2018,11,Online,0
0,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",44,2018,2,Offline,0
1,2,0,1,3,"Meal Plan 1",0,"Room_Type 1",237,2018,10,Online,2
1,2,0,0,2,"Not Selected",0,"Room_Type 1",163,2018,7,Online,0
2,2,2,0,2,"Meal Plan 1",0,"Room_Type 6",22,2018,7,Online,1
2,2,0,1,4,"Meal Plan 1",0,"Room_Type 1",7,2017,9,Online,2
0,1,0,2,5,"Meal Plan 1",0,"Room_Type 1",20,2017,11,Online,1
1,2,0,2,2,"Meal Plan 1",0,"Room_Type 1",54,2018,12,Online,1
0,2,0,0,4,"Meal Plan 1",0,"Room_Type 1",89,2017,8,Online,0
2,2,0,2,1,"Meal Plan 1",0,"Room_Type 1",2,2017,10,Corporate,0
2,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",112,2018,6,Online,1
2,2,1,2,3,"Meal Plan 1",0,"Room_Type 1",153,2018,12,Online,0
1,1,0,0,1,"Meal Plan 1",0,"Room_Type 1",7,2017,10,Offline,0
0,1,0,0,2,"Meal Plan 2",0,"Room_Type 1",6,2017,12,Online,0
0,2,0,0,4,"Meal Plan 1",0,"Room_Type 1",14,2018,5,Offline,1
2,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",36,2018,8,Online,1
1,2,0,0,2,"Meal Plan 2",0,"Room_Type 1",39,2017,8,Offline,0
1,1,0,1,3,"Meal Plan 1",0,"Room_Type 5",10,2018,3,Corporate,0
2,2,1,1,2,"Meal Plan 1",0,"Room_Type 1",6,2018,7,Online,2
0,2,0,1,2,"Not Selected",0,"Room_Type 1",112,2018,12,Online,1
0,2,0,3,7,"Not Selected",0,"Room_Type 1",18,2018,12,Online,0
1,2,0,1,2,"Not Selected",0,"Room_Type 1",66,2018,9,Online,1
1,1,0,0,2,"Meal Plan 2",0,"Room_Type 1",377,2018,10,Offline,0
1,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",71,2018,4,Online,0
1,2,1,0,1,"Meal Plan 1",0,"Room_Type 1",16,2018,12,Online,2
0,2,0,1,3,"Meal Plan 1",0,"Room_Type 4",9,2017,9,Offline,0
1,2,0,0,2,"Meal Plan 2",0,"Room_Type 1",102,2017,10,Online,0
1,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",103,2018,5,Online,0
1,2,0,2,0,"Meal Plan 1",0,"Room_Type 1",146,2018,4,Online,0
1,2,0,2,1,"Not Selected",0,"Room_Type 1",130,2018,8,Online,2
2,2,0,1,3,"Not Selected",0,"Room_Type 1",0,2017,8,Online,0
1,2,0,1,0,"Not Selected",0,"Room_Type 1",4,2018,6,Online,2
0,2,0,2,1,"Meal Plan 1",0,"Room_Type 1",88,2018,12,Offline,0
1,2,0,1,0,"Meal Plan 1",0,"Room_Type 1",85,2018,7,Online,0
1,2,0,1,4,"Meal Plan 1",0,"Room_Type 1",63,2018,11,Online,3
1,2,0,2,5,"Meal Plan 1",0,"Room_Type 1",85,2018,4,Online,0
2,3,0,1,0,"Meal Plan 1",0,"Room_Type 4",11,2018,2,Online,1
0,1,0,0,1,"Meal Plan 1",0,"Room_Type 1",3,2018,3,Corporate,1
1,2,0,1,1,"Meal Plan 1",0,"Room_Type 1",94,2018,10,Online,0
1,2,0,2,5,"Not Selected",0,"Room_Type 1",119,2018,6,Online,0
1,2,0,1,2,"Meal Plan 1",0,"Room_Type 2",130,2018,3,Online,0
1,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",30,2018,3,Online,0
2,1,0,0,1,"Meal Plan 1",0,"Room_Type 5",0,2018,7,Corporate,0
2,2,0,2,1,"Not Selected",0,"Room_Type 1",5,2017,9,Online,2
2,2,0,0,2,"Meal Plan 1",1,"Room_Type 4",42,2018,9,Online,1
1,2,0,1,0,"Not Selected",0,"Room_Type 1",2,2018,5,Online,1
0,1,0,0,1,"Meal Plan 1",0,"Room_Type 1",5,2018,5,Corporate,0
0,2,0,1,2,"Meal Plan 1",0,"Room_Type 1",290,2018,6,Online,0
1,2,0,2,2,"Meal Plan 1",0,"Room_Type 1",28,2018,4,Online,0
0,2,0,2,3,"Not Selected",0,"Room_Type 1",116,2018,6,Online,0
1,2,0,0,2,"Meal Plan 1",0,"Room_Type 1",216,2018,8,Online,1
1,2,0,0,1,"Not Selected",0,"Room_Type 1",82,2018,6,Online,0
0,1,0,2,1,"Meal Plan 1",0,"Room_Type 1",110,2018,10,Online,0
0,2,0,2,2,"Meal Plan 1",0,"Room_Type 1",226,2018,10,Online,0
1,2,0,2,1,"Meal Plan 1",0,"Room_Type 1",12,2018,2,Offline,1
0,1,0,0,2,"Meal Plan 1",0,"Room_Type 1",9,2017,11,Corporate,1
1,2,0,2,1,"Meal Plan 1",0,"Room_Type 1",41,2018,3,Corporate,0
0,2,0,2,1,"Meal Plan 1",0,"Room_Type 1",48,2018,3,Offline,1
1,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",71,2017,9,Offline,0
1,2,0,0,3,"Meal Plan 1",0,"Room_Type 1",37,2018,10,Offline,0
1,1,0,2,3,"Meal Plan 1",0,"Room_Type 4",164,2018,9,Online,1
0,2,0,2,2,"Meal Plan 1",0,"Room_Type 1",60,2018,3,Online,0
1,2,0,1,3,"Meal Plan 1",0,"Room_Type 4",126,2018,5,Online,0
